,EUR_NGN_1. open,EUR_NGN_2. high,EUR_NGN_3. low,EUR_NGN_4. close,TRENDS_Euro to Naira
2014-11-07,205.94,206.95,205.92999,206.59,
2014-11-10,206.75999,210.33,206.63,209.28,
2014-11-11,209.59,210.77,209.59,210.37,
2014-11-12,210.37,212.14999,210.05,210.96001,
2014-11-13,210.94,215.38,210.91,215.14999,
2014-11-14,215.13,215.16,212.41,214.42999,
2014-11-17,214.32001,216.36,213.92,215.5,
2014-11-18,215.52,217.34,215.41,217.16,
2014-11-19,217.23,218.89999,216.86,218.32001,
2014-11-20,218.28999,221.44,218.0,221.07001,
2014-11-21,221.06,221.47,218.67999,219.81,
2014-11-24,216.91,216.91,215.87,216.16,
2014-11-25,216.12,221.45,215.60001,221.3,
2014-11-26,221.28999,221.8,220.74001,221.17999,
2014-11-27,221.14,221.24001,220.50999,220.53,
2014-11-28,220.17999,223.08,220.14999,222.47,
2014-12-01,222.37,230.14,222.07001,229.63,15.0
2014-12-02,229.62,229.67,222.36,222.48,15.0
2014-12-03,222.48,222.59,220.27,220.37,15.0
2014-12-04,220.36,224.03999,220.28,221.64,15.0
2014-12-05,221.63,225.0,220.28,220.28999,15.0
2014-12-08,220.63,225.02,220.0,221.66,15.0
2014-12-09,221.7,229.0,221.31,227.91,15.0
2014-12-10,227.95,228.28999,223.06,224.10001,15.0
2014-12-11,224.07001,224.94,223.69,224.28999,15.0
2014-12-12,224.38,225.23,223.78999,224.09,15.0
2014-12-15,224.34,224.39,221.95,222.39999,15.0
2014-12-16,222.47,226.48,222.3,226.09,15.0
2014-12-17,226.08,233.07001,222.97,230.56,15.0
2014-12-18,230.53999,230.81,226.61,226.86,15.0
2014-12-19,226.83,227.08,225.7,225.8,15.0
2014-12-22,225.64999,226.42999,225.58,225.77,15.0
2014-12-23,225.78999,225.89999,221.86,221.96001,15.0
2014-12-24,221.96001,223.2,221.92999,223.13,15.0
2014-12-25,223.13,224.10001,222.98,223.61,15.0
2014-12-26,223.03,223.10001,222.59,222.82001,15.0
2014-12-30,220.96001,223.53999,220.84,223.19,15.0
2014-12-31,223.21001,223.42,222.11,222.11,15.0
2015-01-01,222.11,222.24001,222.10001,222.19,16.0
2015-01-02,222.19,222.19,220.23,220.24001,16.0
2015-01-05,219.08,219.77,218.61,219.14,16.0
2015-01-06,219.14,220.73,217.89,218.03999,16.0
2015-01-07,218.06,218.19,212.61,216.77,16.0
2015-01-08,216.73,216.96001,212.13,212.31,16.0
2015-01-09,212.34,214.83,212.27,214.75999,16.0
2015-01-12,215.25999,215.33,212.8,213.17,16.0
2015-01-13,213.12,216.45,212.27,216.25999,16.0
2015-01-14,216.25999,217.44,216.11,216.45,16.0
2015-01-15,216.45,216.81,214.5,216.03,16.0
2015-01-16,215.96001,216.31,213.25,214.78999,16.0
